Q101_1;Q101_2;Q101_3;Q101_4;Q101_5;Q102_1;Q102_2;Q102_3;Q102_4;Q102_5;accessibility_indicator
2;5;4;4;2;5;5;5;5;5;0.32 - 0.40
3;1;3;3;3;4;3;3;3;4;0.32 - 0.40
1;5;5;2;1;5;5;5;5;5;0.25 - 0.32
2;2;4;4;4;2;1;2;2;2;0.32 - 0.40
5;5;4;4;4;4;2;5;4;3;0.32 - 0.40
1;1;1;1;1;5;5;5;5;4;0.10 - 0.17
3;4;5;5;4;5;3;2;4;3;0.40 - 0.48
1;3;5;5;4;3;1;1;3;1;0.32 - 0.40
5;5;3;5;3;5;5;5;5;3;0.32 - 0.40
4;3;2;2;2;5;5;5;5;;0.32 - 0.40
2;3;4;4;4;5;4;4;4;3;0.40 - 0.48
